panel,stem,n_replicates,bin_center,mean_density,se_density,ci95_lower,ci95_upper
b,suppl6b_cm_export_ratio,3,1.2468412690543311,0.1992595199603013,0.004910057511990514,0.1896358072367999,0.2088832326838027
b,suppl6b_cm_export_ratio,3,1.3035517931157983,0.11185641818542685,0.044412084424879324,0.024808732712663387,0.19890410365819033
b,suppl6b_cm_export_ratio,3,1.3602623171772654,0.19266424439135568,0.06980525035679344,0.05584595369204054,0.3294825350906708
b,suppl6b_cm_export_ratio,3,1.4169728412387324,0.18228989082821098,0.11766448836556728,-0.04833250636830089,0.41291228802472285
b,suppl6b_cm_export_ratio,3,1.4736833653001993,0.13118688832804412,0.04474400088236105,0.04348864659861647,0.2188851300574718
b,suppl6b_cm_export_ratio,3,1.5303938893616662,0.08505637062517718,0.010918996904069727,0.06365513669320051,0.10645760455715385
b,suppl6b_cm_export_ratio,3,1.5871044134231334,0.13763037837558187,0.06428425422491316,0.011633240094752084,0.26362751665641165
b,suppl6b_cm_export_ratio,3,1.6438149374846005,0.1164739877241171,0.046908524918413554,0.024533278884026538,0.20841469656420766
b,suppl6b_cm_export_ratio,3,1.7005254615460674,0.0979433507202548,0.05635632355692925,-0.012515043451326535,0.20840174489183613
b,suppl6b_cm_export_ratio,3,1.7572359856075344,0.12319650026956301,0.07112557714538305,-0.016209630935387756,0.2626026314745138
